# histogram ptsum_tow. pT < 20: MinBias. pT > 20: Jet20
0	1	0.84	0
1	2	1.82	0.02
2	3	3.18	0.04
3	4	4.44	0.05
4	5	5.66	0.07
5	6	6.86	0.08
6	7	7.95	0.1
7	8	8.96	0.09
8	9	10.01	0.13
9	10	11.15	0.13
10	11	12	0.12
11	12	12.93	0.17
12	13	14.1	0.17
13	14	15.5	0.3
14	15	16.01	0.38
15	16	17.19	0.39
16	17	18.41	1.1
17	18	19.54	0.47
18	19	19.902	0.347
19	20	21.356	0.910
20	21	22.57	0.46
21	22	23.51	0.4
22	23	24.61	0.39
23	24	25.47	0.35
24	25	26.51	0.27
25	26	27.54	0.28
26	27	28.46	0.23
27	28	29.42	0.21
28	29	30.42	0.12
29	30	31.38	0.28
30	31	32.35	0.22
31	32	33.42	0.1
32	33	34.56	0.1
33	34	35.42	0.19
34	35	36.37	0.18
35	36	37.63	0.19
36	37	38.45	0.15
37	38	39.55	0.17
38	39	40.32	0.2
39	40	41.33	0.25
40	41	42.2	0.21
41	42	43.45	0.42
42	43	44.57	0.2
43	44	45.32	0.31
44	45	46.35	0.31
45	46	47.45	0.27
46	47	49.29	0.42
47	48	49.6	0.45
48	49	51.14	0.62
49	50	51.36	0.42
