# histogram nch_transv, pT < 18: MinBias, pT > 18: Jet20
0	1	0.26	0.01
1	2	0.72	0.03
2	3	1.25	0.07
3	4	1.62	0.1
4	5	1.88	0.12
5	6	2.06	0.16
6	7	2.23	0.17
7	8	2.21	0.18
8	9	2.23	0.24
9	10	2.3	0.26
10	11	2.29	0.22
11	12	2.56	0.22
12	13	2.4	0.42
13	14	2.24	0.25
14	15	2.44	0.36
15	16	2.15	0.26
16	17	1.76	0.37
17	18	2.65	1.6
18	19	2.248	0.186
19	20	2.340	0.166
20	21	2.291	0.166
21	22	2.268	0.169
22	23	2.394	0.170
23	24	2.277	0.236
24	25	2.327	0.248
25	26	2.171	0.182
26	27	2.205	0.186
27	28	2.263	0.256
28	29	2.464	0.112
29	30	2.337	0.251
30	31	2.318	0.098
31	32	2.375	0.329
32	33	2.199	0.177
33	34	2.241	0.295
34	35	2.348	0.379
35	36	2.214	0.114
36	37	2.368	0.170
37	38	2.312	0.459
38	39	2.140	0.216
39	40	2.282	0.149
40	41	2.388	0.212
41	42	2.625	0.492
42	43	2.902	0.220
43	44	2.261	0.499
44	45	2.230	0.358
45	46	2.170	0.300
46	47	2.167	0.314
47	48	2.500	0.536
48	49	2.492	0.507
49	50	2.754	0.340
