# histogram nch_tow. pT < 20: MinBias. pT > 20: Jet20
0	1	1.18	0.01
1	2	1.94	0.05
2	3	2.95	0.1
3	4	3.74	0.14
4	5	4.45	0.18
5	6	5.09	0.23
6	7	5.5	0.26
7	8	5.78	0.28
8	9	6.17	0.34
9	10	6.43	0.39
10	11	6.61	0.33
11	12	6.67	0.33
12	13	6.88	0.28
13	14	7.53	0.89
14	15	7.42	0.59
15	16	7.89	0.36
16	17	8.19	0.94
17	18	8.09	0.8
18	19	7.059	1.337
19	20	6.417	1.092
20	21	8.148	0.878
21	22	8.146	0.783
22	23	8.530	0.823
23	24	8.421	0.806
24	25	8.468	0.670
25	26	8.680	0.645
26	27	8.807	0.584
27	28	8.909	0.645
28	29	8.994	0.460
29	30	9.013	0.587
30	31	9.185	0.652
31 32 9.225 0.357
32 33 9.355 0.451
33 34 9.679 0.635
34 35 9.579 0.507
35 36 9.709 0.855
36 37 9.496 0.548
37 38 9.629 0.479
38 39 9.710 0.811
39 40 9.644 1.058
40 41 9.269 0.335
41 42 10.104 0.658
42 43 10.428 0.440
43 44 10.217 1.058
44 45 9.975  0.496
45 46 10.063 0.690
46 47 11.750 1.590
47 48 10.456 1.172
48 49 10.831 0.605
49 50 9.870  0.715
