# histogram nch_away. pT < 20: MinBias. pT > 20: Jet20
0	1	0.26	0.01
1	2	0.77	0.04
2	3	1.38	0.08
3	4	1.85	0.11
4	5	2.25	0.15
5	6	2.52	0.19
6	7	2.72	0.21
7	8	2.99	0.19
8	9	3.14	0.25
9	10	3.29	0.44
10	11	3.32	0.36
11	12	3.49	0.18
12	13	3.71	0.58
13	14	3.85	0.37
14	15	4.4	0.38
15	16	3.64	0.43
16	17	3.1	1.34
17	18	3.96	1.11
18	19	4.294	1.231
19	20	5.500	1.284
20	21	4.618	1.132
21	22	4.749	1.048
22	23	4.707	0.905
23	24	4.746	0.820
24	25	4.930	0.752
25	26	5.026	0.623
26	27	5.041	0.580
27	28	5.139	0.439
28	29	5.396	0.581
29	30	5.450	0.260
30	31	5.461	0.211
31	32	5.25	0.65
32	33	5.68	0.52
33	34	5.96	0.47
34	35	5.87	0.45
35	36	5.54	0.78
36	37	6.07	0.62
37	38	6.07	0.42
38	39	5.44	0.26
39	40	6.37	0.3
40	41	6.17	0.84
41	42	6.97	0.42
42	43	6.57	0.83
43	44	6.41	0.58
44	45	6.36	0.48
45	46	5.66	0.83
46	47	7.37	1.31
47	48	6.97	0.52
48	49	6.54	1.19
49	50	7.58	1.19
